Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
14-Oct-2022,07:58,08:20,King's Cross St. Pancras [London Underground] to Liverpool Street [London Underground],2.60,,24.40,
14-Oct-2022,08:24,08:39,Liverpool Street [London Underground] to Green Park [London Underground],0.00,,24.40,Journey continuation
14-Oct-2022,17:42,18:01,Green Park [London Underground] to Baker Street [London Underground],2.50,,21.90,
14-Oct-2022,18:18,,"Bus journey, route 343",1.55,,20.35,
15-Oct-2022,00:46,,"Bus journey, route N63",1.75,,18.60,
15-Oct-2022,10:30,,Auto top-up,,10.00,28.60,Auto top-up
15-Oct-2022,12:14,12:32,Baker Street [London Underground] to Waterloo [London Underground],2.70,,25.90,
15-Oct-2022,12:46,13:02,Waterloo [London Underground] to London Bridge [London Underground],2.50,,23.40,
17-Oct-2022,07:43,07:58,London Bridge [London Underground] to Bank [London Underground],2.40,,21.00,
17-Oct-2022,08:15,,"Bus journey, route 55",1.55,,19.45,
17-Oct-2022,12:03,12:21,Bank [London Underground] to Oxford Circus [London Underground],2.60,,16.85,
17-Oct-2022,18:07,,Fare adjustment,,1.25,18.10,Fare adjustment
18-Oct-2022,07:50,08:07,Oxford Circus [London Underground] to Victoria [London Underground],2.40,,15.70,
18-Oct-2022,08:27,,"Bus journey, route 168",1.75,,13.95,
18-Oct-2022,12:21,12:36,Victoria [London Underground] to South Kensington [London Underground],0.00,,13.95,Daily cap applied
18-Oct-2022,17:58,18:16,South Kensington [London Underground] to Paddington [London Underground],2.70,,11.25,
20-Oct-2022,08:04,08:22,Paddington [London Underground] to Euston [London Underground],2.70,,8.55,
20-Oct-2022,08:39,08:52,Euston [London Underground] to King's Cross St. Pancras [London Underground],2.40,,6.15,
20-Oct-2022,12:18,,Auto top-up,,15.00,21.15,Auto top-up
20-Oct-2022,19:02,,"Bus journey, route 15",1.75,,19.40,
